Data,02/06,
Horário Início,16:08,
Horário fim,16:52,
Quantidade registros,300000,
,,
,Java,Haskell
Tempo (ms),2150694,181474
Pico Memória (%),"32,1","20,74"
Pico CPU (%),"52,43","20,09"
Entrada de rede (bytes),5.810.078,"44.620.506,00"
Saída de rede (bytes),123.364.229,90.291.067
Gasto energético estimado (W),"12,550","8,260"
